,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46566,161855200,13,13104,131040041,161-8552,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,株式会社　誠和,カブシキガイシヤ　セイワ,下落合１丁目１－１,,東京都新宿区下落合１丁目１－１,35.715062,
46567,161854600,13,13104,131040041,161-8546,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,アニコム損害保険　株式会社,アニコムソンガイホケン　カブシキガイシヤ,下落合１丁目５－２２アリミノビル２Ｆ,,東京都新宿区下落合１丁目５－２２アリミノビル２Ｆ,35.716026,
46568,161855700,13,13104,131040041,161-8557,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,学校法人　田中芸術学園　東京美容専門学校,ガツコウホウジン　タナカゲイジユツガクエン　トウキヨウセンモンガツコウ,下落合１丁目２－４,,東京都新宿区下落合１丁目２－４,35.715693,
46569,161854500,13,13104,131040041,161-8545,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,工新建設　株式会社,コウシンケンセツ　カブシキガイシヤ,下落合２丁目３－１８,,東京都新宿区下落合２丁目３－１８,35.71653,
46570,161854100,13,13104,131040041,161-8541,1,0,東京都,トウキョウト,新宿区,シンジュクク,下落合,シモオチアイ,,,,,,三宝製薬　株式会社,サンポ－セイヤク　カブシキカイシヤ,下落合２丁目３－１８,,東京都新宿区下落合２丁目３－１８,35.71653,
46572,162855800,13,13104,131040042,162-8558,1,0,東京都,トウキョウト,新宿区,シンジュクク,下宮比町,シモミヤビチョウ,,,,,,株式会社　アスク,カブシキガイシヤ　アスク,下宮比町２－６,,東京都新宿区下宮比町２－６,35.703139,
46573,162870100,13,13104,131040042,162-8701,1,0,東京都,トウキョウト,新宿区,シンジュクク,下宮比町,シモミヤビチョウ,,,,,,株式会社　ディスコ　神楽坂ＨＣスタジオ,カブシキガイシヤ　デイスコ　カグラザカエイチシ－スタジオ,下宮比町２－１２神楽坂ＨＣスタジオ,,東京都新宿区下宮比町２－１２神楽坂ＨＣスタジオ,35.703596,
46576,162853500,13,13104,131040044,162-8535,1,0,東京都,トウキョウト,新宿区,シンジュクク,新小川町,シンオガワマチ,,,,,,株式会社　アプラス,カブシキガイシヤ　アプラス,新小川町４－１アプラス東京ビル,,東京都新宿区新小川町４－１アプラス東京ビル,35.705271,
46577,162870700,13,13104,131040044,162-8707,1,0,東京都,トウキョウト,新宿区,シンジュクク,新小川町,シンオガワマチ,,,,,,株式会社　朝倉書店,カブシキガイシヤ　アサクラシヨテン,新小川町６－２９,,東京都新宿区新小川町６－２９,35.707564,
46578,162844500,13,13104,131040044,162-8445,1,0,東京都,トウキョウト,新宿区,シンジュクク,新小川町,シンオガワマチ,,,,,,成美堂出版　（株）,セイビドウシユツパン　（カブ）,新小川町１－７,,東京都新宿区新小川町１－７,35.704359,
46579,101865600,13,13104,131040044,101-8656,1,0,東京都,トウキョウト,新宿区,シンジュクク,新小川町,シンオガワマチ,,,,,,小学館プロダクション,シヨウガクカンプロダクシヨン,新小川町４－１１昭和図書ビル,,東京都新宿区新小川町４－１１昭和図書ビル,,
46581,160840100,13,13104,131040045,160-8401,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,大和証券　株式会社　新宿支店,ダイワシヨウケン　カブシキガイシヤ　シンジユクシテン,新宿３丁目３０－１１,,東京都新宿区新宿３丁目３０－１１,35.69115,
46582,160846300,13,13104,131040045,160-8463,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　サンズ,カブシキガイシヤ　サンズ,新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,,東京都新宿区新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,35.696756,
46583,160846100,13,13104,131040045,160-8461,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　三栄,カブシキガイシヤ　サンエイ,新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,,東京都新宿区新宿６－２７－３０新宿イーストサイドスクエア７Ｆ,35.696756,
46584,160841000,13,13104,131040045,160-8410,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,日本ハウズイング　株式会社,ニホンハウズイング　カブシキガイシヤ,新宿１丁目３１番１２号,,東京都新宿区新宿１丁目３１番１２号,35.690292,
46585,160840800,13,13104,131040045,160-8408,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　エムアイカード,カブシキガイシヤ　エムアイカ－ド,新宿５丁目１７番１８号Ｈ＆Ｉビル,,東京都新宿区新宿５丁目１７番１８号Ｈ＆Ｉビル,35.693273,
46586,160840700,13,13104,131040045,160-8407,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,財団法人　東京社会保険協会,ザイダンホウジン　トウキヨウシヤカイホケンキヨウカイ,新宿７丁目２６－９フィオーレ東京,,東京都新宿区新宿７丁目２６－９フィオーレ東京,35.698024,
46587,160844700,13,13104,131040045,160-8447,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　タイトー,カブシキガイシヤ　タイト－,新宿６丁目２７番３０号新宿イーストサイドスクエア２階,,東京都新宿区新宿６丁目２７番３０号新宿イーストサイドスクエア２階,35.696756,
46588,160844400,13,13104,131040045,160-8444,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,あいおい損害保険　株式会社,アイオイソンガイホケン　カブシキガイシヤ,新宿１丁目２－７あいおい損保・新宿東共同ビル,,東京都新宿区新宿１丁目２－７あいおい損保・新宿東共同ビル,35.687994,
46589,160842200,13,13104,131040045,160-8422,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,キーウェアソリューションズ　株式会社,キ－ウエアソリユ－シヨンズ　カブシキガイシヤ,新宿３丁目１番１３号,,東京都新宿区新宿３丁目１番１３号,35.6901,
46590,160843300,13,13104,131040045,160-8433,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　佐藤秀,カブシキガイシヤ　サトウヒデ,新宿５丁目６－１１,,東京都新宿区新宿５丁目６－１１,35.692306,
46591,160843000,13,13104,131040045,160-8430,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　スクウェア・エニックス,カブシキガイシヤ　スクウエア・エニツクス,新宿６丁目２７番３０号新宿イーストサイドスクエア,,東京都新宿区新宿６丁目２７番３０号新宿イーストサイドスクエア,35.696756,
46592,160842900,13,13104,131040045,160-8429,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,株式会社　アデランス,カブシキガイシヤ　アデランス,新宿１丁目６－３,,東京都新宿区新宿１丁目６－３,35.688218,
46593,160840200,13,13104,131040045,160-8402,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,学校法人　東京医科大学,ガツコウホウジン　トウキヨウイカダイガク,新宿６丁目１－１,,東京都新宿区新宿６丁目１－１,35.69372,
46594,160842300,13,13104,131040045,160-8423,1,0,東京都,トウキョウト,新宿区,シンジュクク,新宿,シンジュク,,,,,,オートビジネスサービス　株式会社,オ－トビジネスサ－ビス　カブシキガイシヤ,新宿２－１９－１ビッグス新宿ビル８階,,東京都新宿区新宿２－１９－１ビッグス新宿ビル８階,35.691293,
